file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
038652.pdf,038,ok,554300,Acrobat Distiller 3.0 for Power Macintosh,Adobe PageMaker 6.52,1998-04-23,7,2505,,False,True,True,0,2,0,2
038654.pdf,038,ok,115015,Adobe PDF Library 6.0,Adobe InDesign CS (3.0.1),2005-03-03,1,1693,,False,False,True,0,2,0,2
038657.pdf,038,ok,1567073,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2,2007-08-27,7,247,,False,True,True,0,2,0,2
038702.pdf,038,ok,5037761,NeoOffice 2.2,Impress,2008-09-17,3,577,,False,False,True,0,2,0,2
038708.pdf,038,ok,700465,Adobe PDF library 5.00,Adobe Illustrator 10.0.3,2008-03-27,3,581,,False,False,True,0,2,0,2
038709.pdf,038,ok,140712,Acrobat Distiller 4.05 for Windows,Microsoft Word 9.0,2004-03-25,1,67,,False,True,True,0,2,0,2
038941.pdf,038,ok,116290,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.5 for Word,2006-10-10,1,1306,,False,True,True,0,2,0,2
038948.pdf,038,ok,253574,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-03-07,1,910,,False,True,True,0,2,0,2
038963.pdf,038,ok,217022,Acrobat PDFWriter 2.0 for Macintosh,Microsoft Word,1997-10-16,1,255,,False,True,True,0,2,0,2
038975.pdf,038,ok,477565,Adobe PDF Library 5.0,Adobe InDesign 2.0.2,2004-04-13,1,2295,,False,False,True,0,2,0,2
038981.pdf,038,ok,495443,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.5 for Word,2006-09-08,1,162,,False,True,True,0,2,0,2
085002.pdf,085,ok,167243,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2005-08-23,14,134,,False,True,True,0,2,0,2
085076.pdf,085,ok,317363,Acrobat Distiller 4.05 for Sparc Solaris,,2001-11-13,2,236,,False,True,True,0,2,0,2
085078.pdf,085,ok,350492,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2.2,2005-03-31,2,1162,,False,True,True,0,2,0,2
085079.pdf,085,ok,44210,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-11-03,2,1369,,False,True,True,0,2,0,2
085082.pdf,085,ok,1945521,Adobe PDF Library 5.0,Adobe InDesign 2.0.2,2003-10-08,1,91,,False,False,True,0,2,0,2
085084.pdf,085,ok,22269,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-06-03,5,95,,False,True,True,0,2,0,2
085086.pdf,085,ok,1528951,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2.2,2008-02-15,1,696,,False,True,True,0,2,0,2
085089.pdf,085,ok,1543362,Acrobat Distiller 5.0.5 (Windows),FrameMaker 7.0,2002-08-21,4,2523,,False,True,True,0,2,0,2
085094.pdf,085,ok,414118,Acrobat PDFWriter 3.03 for Windows,Capture Reviewer 2.01,2000-03-27,1,2262,,False,True,True,0,2,0,2
085097.pdf,085,ok,48522,Acrobat Distiller 4.0 for Windows,,2004-03-30,7,972,,False,True,True,0,2,0,2
085098.pdf,085,ok,34152,Acrobat Distiller 4.0 for Windows,,2004-03-30,3,972,,False,True,True,0,2,0,2
085157.pdf,085,ok,222272,JAWS PDFLib,activePDF Server,2003-08-01,16,1992,,False,False,True,0,2,0,2
085259.pdf,085,ok,2051097,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2004-05-05,2,219,,False,True,True,0,2,0,2
085271.pdf,085,ok,4355245,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2002-11-26,2,58,,False,True,True,0,2,0,2
